-113.75 -111.25 -108.75 -106.25 -103.75 -101.25 -98.75 -96.25 -93.75 -91.25 -88.75 -86.25 -83.75 -81.25 -78.75 -76.25 -73.75 -71.25 -68.75 -66.25 -63.75 -61.25 -58.75 -56.25
36.25 1526.25 1759.56 1948.38 2241.31 1692.75 865.19 472.5 231.69 334.38 82.44 102.56 325.25 459.31 306.19 131.88 0.62 0.19 0 0 0 0 0 0 0
33.75 612.94 1079.12 1979.31 1780.56 1370.25 879.81 404.25 174.94 179.62 38.69 101.19 212.31 315.81 97.81 40.06 0.12 0 0 0 0 0 0 0 0
31.25 328.62 1228.88 1483.69 1326.06 1117.5 685 437.31 80.31 65.25 34.88 58.44 55.94 86.5 12.19 0.56 0 0 0 0 0 0 0 0 0
28.75 367.81 349.69 1145.25 1698.56 1345.75 675.44 439.12 17.12 2.25 0 0 0 0.38 18.38 0 0 0 0 0 0 0 0 0 0
26.25 58.5 122.88 278.12 2151.25 1364.94 1419.69 181.19 0 0 0 0 0 0 0.06 0 0 0 0 0 0 0 0 0 0
23.75 0 70 56.06 856.06 2120.69 1992.06 898.88 0 0 0 0 0 0.06 30.56 0 3.38 0.19 0 0 0 0 0 0 0
21.25 0 0 0 207.81 1609.81 2072 940.19 17.25 0 10.19 26.56 0.06 0.75 13.12 48.38 154.81 12.38 0.31 0.19 0.12 0 0 0 0
18.75 0 0 0 1.69 716.06 1031.75 2333.56 1100.88 94.19 25.56 112.75 0 0 0 1.94 106.81 50.5 818.81 89.94 90.38 5.06 0 0 0
16.25 0 0 0 0 0 0.38 633 370.5 574.5 1330.5 456.25 405.19 6.5 0 0 0 0 0 0 0 0 18.19 0 0
13.75 0 0 0 0 0 0 0.19 0 0 234.88 880 880.25 236.38 6 0 0 0 0 0 0 0 56.19 2.44 0
11.25 0 0 0 0 0 0 0 0 0 0 0 155.62 259.69 0.19 0.56 44.06 1066.88 412.25 171.75 112.69 111.69 23 0.56 0
8.75 0 0 0 0 0 0 0 0 0 0 0 2.75 462.94 365.12 119.94 124.38 222.31 1154.44 467.62 142.38 261.88 98.75 9.75 0
6.25 0 0 0 0 0 0 0 0 0 0 0 0.19 0 0 0.56 1723.25 1373.19 191 132.88 1460.44 575.62 849.38 121.69 70.19
3.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 1727.19 1593.19 206.75 207 336.25 880.38 378.69 325.81 396.25
1.25 0 0 0 0 0 0 0 0 0 26.69 0.19 0 0 5.62 512.81 503.38 336 219.62 120.94 630.88 318.5 152.88 263.75 266.62
-1.25 0 0 0 0 0 0 0 0 0 144.06 20.44 0 0 71.31 1177.12 202.75 126.75 95.81 121.88 55.75 37.12 66.88 131.75 88.44
-3.75 0 0 0 0 0 0 0 0 0 0 0 0 0 284.81 1961.75 125.62 92.69 76.75 84 35.5 30 31.88 42.12 103.75
-6.25 0 0 0 0 0 0 0 0 0 0 0 0 0 99.25 1480.38 543.5 151 143.38 91 70.38 43.19 39.94 54.38 169.25
-8.75 0 0 0 0 0 0 0 0 0 0 0 0 0 1.12 1180.88 1797.81 298.75 217.69 176.25 124.5 130.62 218.12 200.69 393.75
-11.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 443.06 3885 886.38 362.06 235.56 178.69 347.5 309.19 326.56 442
-13.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1329.12 3681.88 4268.81 1040.31 214.88 226 348.38 491.88 385.69
-16.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.06 1687 3482.88 4024.81 1128.38 268.38 311.44 334.69 178.38
-18.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200.69 3976.75 3756.5 1368.12 322.19 189.75 182.38
-21.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54.38 2231.31 3903.31 1976.56 288.88 144.12 315.88
