-114.5 -113.5 -112.5 -111.5 -110.5 -109.5 -108.5 -107.5 -106.5 -105.5 -104.5 -103.5 -102.5 -101.5 -100.5 -99.5 -98.5 -97.5 -96.5 -95.5 -94.5 -93.5 -92.5 -91.5 -90.5 -89.5 -88.5 -87.5 -86.5 -85.5 -84.5 -83.5 -82.5 -81.5 -80.5 -79.5 -78.5 -77.5 -76.5 -75.5 -74.5 -73.5 -72.5 -71.5 -70.5 -69.5 -68.5 -67.5 -66.5 -65.5 -64.5 -63.5 -62.5 -61.5 -60.5 -59.5 -58.5 -57.5 -56.5 -55.5
36.5 1493 1651 1696 1918 1937 2003 1881 1871 2423 2547 2071 1693 1292 1093 816 622 423 306 260 205 320 382 268 203 95 63 111 177 182 304 386 401 658 816 430 222 122 45 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
35.5 1074 1336 1794 1891 1639 1912 2108 2108 2143 2152 1626 1336 1193 1010 808 570 439 330 245 233 217 245 212 97 60 78 125 215 248 374 347 745 934 346 195 157 63 45 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
34.5 562 1042 1227 1407 1741 1849 2338 2266 2041 1927 1431 1340 1183 988 691 427 336 291 227 189 221 194 91 42 40 100 122 183 266 283 341 359 232 141 128 51 45 15 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
33.5 358 549 609 815 1323 1953 2155 1989 1618 1959 1249 1278 1125 927 693 430 327 251 175 118 80 63 49 39 34 90 83 130 168 268 247 166 129 99 41 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32.5 305 316 483 794 1283 1293 1546 1506 1496 1623 1229 1054 916 770 713 534 423 279 118 118 76 55 42 31 58 104 83 58 110 165 141 89 72 45 17 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31.5 341 446 579 1101 1423 1560 1447 1257 1222 1333 1259 980 881 781 639 525 406 193 118 111 97 59 39 39 87 94 63 53 109 106 115 99 61 24 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30.5 203 6 306 741 1341 1266 1590 1448 1348 1328 1389 1298 956 696 686 577 397 174 92 62 57 55 30 8 26 26 20 56 54 34 46 34 32 48 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29.5 405 476 194 705 747 977 1753 2033 1502 1311 1437 1041 908 514 523 561 422 99 58 19 4 0 0 0 0 0 0 0 0 0 0 2 23 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28.5 83 563 81 120 551 833 1773 2173 1937 1309 1409 1249 1415 749 667 193 132 89 9 0 0 0 0 0 0 0 0 0 0 0 0 0 15 28 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
